team,rating
Argentina,1877.27
Spain,1874.71
France,1870.7
England,1828.02
Portugal,1767.85
Brazil,1765.86
Morocco,1755.1
Netherlands,1753.57
Belgium,1742.24
Germany,1735.77
Croatia,1714.87
Colombia,1698.35
Mexico,1687.48
Senegal,1684.07
Uruguay,1673.07
Scotland,1670.0
Switzerland,1660.0
Sweden,1650.0
Japan,1645.0
United States,1635.0
Iran,1625.0
Austria,1620.0
South Korea,1615.0
Ecuador,1610.0
Australia,1600.0
Türkiye,1595.0
Czechia,1590.0
Norway,1585.0
Ivory Coast,1580.0
Algeria,1575.0
Canada,1570.0
Egypt,1565.0
Ghana,1560.0
Tunisia,1555.0
Paraguay,1550.0
Saudi Arabia,1545.0
South Africa,1535.0
Qatar,1530.0
Bosnia-Herzegovina,1525.0
New Zealand,1515.0
Congo DR,1510.0
Uzbekistan,1505.0
Iraq,1500.0
Jordan,1495.0
Panama,1490.0
Haiti,1480.0
Cape Verde,1475.0
Curaçao,1470.0
